,latitude,longitude
267,1.36885,103.71674
268,1.34338,103.71697
269,1.35579,103.71697
270,1.27939,103.7173
271,1.34693,103.71741
272,1.32691,103.71764
273,1.32684,103.71766
274,1.34757,103.71773
275,1.33791,103.71829
276,1.33182,103.71833
277,1.3234,103.71843
278,1.28915,103.7191
279,1.36965,103.71936
280,1.31407,103.7194
281,1.323471,103.7195
282,1.33989,103.71951
283,1.3158,103.71974
284,1.3158,103.71974
285,1.32245,103.71976
286,1.27846,103.71979
287,1.31643,103.71985
288,1.35279,103.72004
289,1.31766,103.7201
290,1.32059,103.72019
291,1.31993,103.72027
292,1.3197,103.72028
293,1.28698,103.72039
294,1.34669,103.72118
295,1.32639,103.72149
296,1.37033,103.72153
297,1.32642,103.72155
298,1.34452,103.7218
299,1.33433,103.722
300,1.32874,103.72282
301,1.33399,103.72282
302,1.3338,103.72291
303,1.33972,103.72291
304,1.3335,103.72299
305,1.35086,103.72312
306,1.33264,103.72328
307,1.37438,103.7237
308,1.3253,103.72442
309,1.32509,103.7247
310,1.34697,103.7247
311,1.33433,103.72476
312,1.31715,103.72522
313,1.32652,103.72541
314,1.37447,103.72603
315,1.34604,103.72609
316,1.32512,103.72632
317,1.3211,103.7283
318,1.31236,103.72968
319,1.31204,103.73096
320,1.31381,103.73125
321,1.31377,103.7314
322,1.37908,103.7321
323,1.34507,103.7324
324,1.37784,103.73378
325,1.311,103.7342
326,1.34474,103.73517
327,1.31832,103.73586
328,1.37823,103.73653
329,1.3808,103.73656
330,1.38263,103.73671
331,1.37832,103.73777
332,1.3782,103.73783
333,1.37842,103.73801
334,1.30411,103.73805
335,1.32099,103.7381
336,1.37836,103.73819
337,1.30539,103.73832
338,1.32113,103.73841
339,1.32055,103.73861
340,1.30531,103.7387
341,1.38118,103.73888
342,1.33556,103.73891
343,1.33525,103.73913
344,1.33835,103.73943
345,1.38511,103.73944
346,1.32106,103.73962
347,1.35552,103.73967
348,1.30676,103.7397
349,1.3784,103.74016
350,1.38196,103.74042
351,1.33951,103.7406
352,1.32574,103.7409
353,1.38689,103.74103
354,1.37482,103.74118
355,1.38345,103.74128
356,1.344157,103.7414
357,1.38369,103.74215
358,1.38428,103.74257
359,1.38869,103.74271
360,1.38776,103.74283
361,1.34071,103.74302
362,1.39191,103.74302
363,1.398609,103.7431
364,1.30422,103.7432
365,1.38157,103.74333
366,1.40127,103.74338
367,1.38034,103.74371
368,1.33277,103.7438
369,1.33564,103.744
370,1.33559,103.74419
371,1.33337,103.74459
372,1.33313,103.7447
373,1.34671,103.74475
374,1.34996,103.74476
375,1.34169,103.7448
376,1.37923,103.7449
377,1.33954,103.74534
378,1.33406,103.7456
379,1.34976,103.74571
380,1.3864,103.74578
381,1.34988,103.74605
382,1.3032,103.74629
383,1.32073,103.74638
384,1.40822,103.7464
385,1.40826,103.74643
386,1.35094,103.74655
387,1.33649,103.74685
388,1.40366,103.74696
389,1.39645,103.7473
390,1.39647,103.7474
391,1.32969,103.74748
392,1.38109,103.74748
393,1.39705,103.74752
394,1.33606,103.74757
395,1.33503,103.74768
396,1.33633,103.74789
397,1.31795,103.7482
398,1.32106,103.74844
399,1.32427,103.74844
400,1.3481,103.74849
401,1.42337,103.74849
402,1.3899,103.74853
403,1.34815,103.74855
404,1.43561,103.74886
405,1.34101,103.7499
406,1.33862,103.75005
407,1.40443,103.75025
408,1.3053,103.75037
409,1.35982,103.7509
410,1.3568,103.75103
411,1.31234,103.7516
412,1.31424,103.75228
413,1.31428,103.75234
414,1.3143,103.7524
415,1.32803,103.7524
416,1.3491,103.75245
417,1.38295,103.7536
418,1.32756,103.754
419,1.33754,103.75433
420,1.30952,103.75479
421,1.347034,103.7548
422,1.30953,103.75489
423,1.35226,103.75489
424,1.39877,103.75498
425,1.31923,103.75509
426,1.34928,103.75511
427,1.347523,103.7558
428,1.40879,103.75601
